Date,Open,High,Low,Close,Adj Close,Volume
42775,102,102.169998,101.550003,101.599998,101.011314,1995400
42776,101.760002,102.309998,101.75,101.989998,101.399055,2131100
42779,102.099998,102.489998,101.849998,102.260002,101.667503,1460300
42780,102,102.489998,101.910004,102.279999,101.687378,2148800
42781,102.25,102.739998,102.25,102.580002,101.985641,1725100
42782,102.650002,102.739998,102.410004,102.489998,101.896156,1070000
42783,102.309998,102.779999,102.18,102.400002,101.806686,1335400
42787,102.209999,102.75,102.209999,102.599998,102.005524,1530000
42788,102.599998,102.889999,102.400002,102.650002,102.055237,1576900
42789,102.650002,102.889999,102.459999,102.589996,101.995575,1368300
42790,102.199997,102.860001,102.190002,102.830002,102.234192,2153600
42793,102.580002,102.889999,102.57,102.809998,102.214302,881100
42794,102.650002,103.18,102.300003,102.809998,102.214302,1650200
42795,103.199997,103.440002,102.959999,103.199997,102.602043,1797600
42796,103.120003,103.790001,103.050003,103.610001,103.009674,4282400
42797,103.720001,103.940002,103.440002,103.860001,103.258224,1483700
42800,103.550003,104.099998,103.300003,103.889999,103.288055,1535300
42801,103.860001,104.110001,103.559998,103.769997,103.168747,2881800
42802,103.68,104.029999,103.650002,103.870003,103.268173,5757300
42803,103.760002,104.019997,103.75,103.919998,103.317871,3101400
42804,104.099998,104.230003,103.900002,104.220001,103.616142,3012900
42807,104.099998,104.449997,103.800003,103.989998,103.387474,3592500
42808,103.900002,103.980003,103.709999,103.800003,103.19857,1669500
42809,103.800003,103.970001,103.720001,103.75,103.148865,2702000
42810,103.879997,103.970001,103.279999,103.400002,102.800888,3891400
42811,103.199997,103.379997,102.910004,103.269997,102.671646,3096600
42814,103.25,103.5,103.160004,103.330002,102.7313,1158100
42815,103.199997,103.510002,102.650002,102.940002,102.343559,3273500
42816,102.830002,102.989998,102.599998,102.730003,102.134773,2040700
42817,102.739998,102.980003,102.620003,102.699997,102.104942,1720600
42818,102.809998,103.160004,102.599998,102.989998,102.393265,2153500
42821,102.919998,103.360001,102.699997,103.220001,102.621933,1182200
42822,103.07,103.529999,102.970001,103.18,102.582169,1246300
42823,103.160004,103.669998,103.150002,103.620003,103.019615,1622900
42824,103.330002,104.290001,103.139999,103.75,103.148865,1697000
42825,103.940002,104,103.379997,103.5,102.900307,3326800
42828,103.68,104.419998,103.5,104.269997,103.665848,2955100
42829,104.75,105.260002,104.349998,105.050003,104.44133,7817400
42830,105.480003,105.480003,104.610001,104.800003,104.192787,3961200
42831,104.949997,105,104.339996,104.400002,103.795105,3719200
42832,104.5,104.800003,104.449997,104.550003,103.944229,4128600
42835,104.5,104.68,104.169998,104.169998,103.566429,2051200
42836,104.050003,104.440002,103.870003,103.970001,103.367592,2272100
42837,103.919998,103.989998,103.660004,103.690002,103.089218,3112300
42838,103.699997,103.900002,103.190002,103.230003,102.631882,2697600
42842,103.5,103.690002,103.169998,103.169998,102.572227,1998900
42843,103.199997,103.589996,103.160004,103.309998,102.711411,1495300
42844,103.5,104.419998,103.389999,104.230003,103.626083,3463200
42845,104.449997,104.510002,103.900002,104.43,103.824921,2904200
42846,104.449997,104.449997,104.110001,104.360001,103.755333,1813200
42849,104.5,104.910004,104.410004,104.769997,104.162949,1644800
42850,104.860001,105.279999,104.800003,105.209999,104.600403,2253100
42851,105.110001,105.599998,105.110001,105.470001,104.858902,2824800
42852,105.5,105.580002,105.300003,105.449997,104.839012,1981000
42853,105.400002,105.800003,105.300003,105.75,105.137276,2050000
42856,105.900002,106.160004,105.599998,105.959999,105.346054,1946800
42857,106,106.190002,105.669998,105.760002,105.147217,2297800
42858,106,106.099998,105.599998,105.790001,105.177048,1199200
42859,105.760002,106.970001,105.730003,106.779999,106.161308,4468100
42860,106.57,106.959999,106.379997,106.580002,105.962463,2512700
42863,106.529999,106.970001,106.449997,106.900002,106.280617,2710900
42864,106.660004,107.019997,106.650002,106.769997,106.15136,2151900
42865,106.720001,106.889999,106.580002,106.68,106.06189,3243000
42866,106.550003,106.940002,106.400002,106.860001,106.240845,2924400
